	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_001002295	192.0	98.0	7.0	9.0		0.1028157008838744		0.1879497207240252
NP_001002909	642.0	330.0	13.0	11.0		0.2759359457407729		0.39127081049437934
NP_001005751	1720.0	861.0	39.0	47.0		7.073819334670605e-05		0.0007585332771980292
NP_001014436	566.0	281.0	9.0	24.0		6.797068691791584e-06		0.00021558974164039723
NP_001014972	715.0	373.0	24.0	16.0		0.4989753995368743		0.5966914152795122
NP_001017915	509.0	258.0	24.0	17.0		0.31324652497334593		0.41621181790439943
NP_001018494	381.0	199.0	15.0	8.0		1.0		1.0
NP_001032242	1051.0	544.0	40.0	24.0		0.5922114255032572		0.6744630123787096
NP_001035919	650.0	328.0	25.0	14.0		0.7331985203627673		0.7910826140756173
NP_001035957	515.0	267.0	18.0	21.0		0.015525967223577457		0.048207444360413354
NP_001041648	772.0	405.0	23.0	17.0		0.3124723441058104		0.41621181790439943
NP_001059	1133.0	566.0	42.0	25.0		0.5105951233506422		0.60057705082637
NP_001073860	839.0	393.0	30.0	25.0		0.03980920690306297		0.09364952771458256
NP_001092885	530.0	281.0	15.0	14.0		0.16481234900935626		0.27341701829875864
NP_001099010	189.0	102.0	2.0	8.0		0.005785426889110066		0.022138900228994517
